pattern_name,side,st_3m,st_1h,st_4h,trend_align,is_consolidation,breakout,volume_spike,neckline_break,atr_ratio,rsi,close_vs_ema,label
bull_flag,BUY,1,1,1,1,0,1,1,0,0.005,62.0,1,1
bull_flag,BUY,1,1,1,1,0,1,0,0,0.004,58.0,1,1
bull_flag,BUY,1,1,1,1,1,1,1,0,0.001,54.0,1,0
sym_triangle,BUY,1,1,1,1,0,1,1,0,0.006,60.0,1,1
sym_triangle,SELL,0,0,0,1,0,1,1,0,0.006,40.0,0,1
head_shoulders,SELL,0,0,0,1,0,1,1,1,0.007,42.0,0,1
head_shoulders,SELL,0,1,0,0,0,1,1,1,0.006,45.0,0,0
inv_head_shoulders,BUY,1,1,1,1,0,1,1,1,0.008,55.0,1,1
double_bottom,BUY,1,1,1,1,0,1,0,1,0.007,52.0,1,0
triple_top,SELL,0,0,0,1,0,1,1,1,0.007,41.0,0,1
bull_flag,BUY,1,1,1,1,1,1,1,0,0.005,65.0,1,1
bull_flag,BUY,1,1,1,1,0,1,1,0,0.005,60.0,1,1
bull_flag,BUY,1,1,1,1,0,1,1,0,0.004,59.0,1,1
bull_flag,BUY,1,1,1,1,0,1,0,0,0.003,55.0,1,0
bull_flag,BUY,0,1,1,1,0,1,1,0,0.005,68.0,1,1
bull_flag,BUY,1,0,1,0,0,1,0,0,0.006,75.0,1,0
bear_flag,SELL,0,0,0,1,0,1,1,0,0.005,35.0,0,1
bear_flag,SELL,0,0,0,1,0,1,1,0,0.004,38.0,0,1
bear_flag,SELL,0,0,1,0,0,1,0,0,0.003,42.0,0,0
bear_flag,SELL,0,0,0,1,0,0,1,0,0.005,30.0,0,1
bear_flag,SELL,1,0,0,0,0,1,0,0,0.006,25.0,0,0
head_shoulders,SELL,0,0,0,1,0,1,1,1,0.006,42.0,0,1
head_shoulders,SELL,0,0,0,1,0,1,1,1,0.005,45.0,0,1
head_shoulders,SELL,1,0,0,0,0,1,0,1,0.004,48.0,0,0
head_shoulders,SELL,0,0,0,1,0,0,1,1,0.007,35.0,0,1
head_shoulders,SELL,0,0,0,1,0,1,0,0,0.005,40.0,0,0
inv_head_shoulders,BUY,1,1,1,1,0,1,1,1,0.006,58.0,1,1
inv_head_shoulders,BUY,1,1,1,1,0,1,1,1,0.005,55.0,1,1
inv_head_shoulders,BUY,0,1,1,1,0,1,0,1,0.004,52.0,1,0
inv_head_shoulders,BUY,1,1,1,1,0,0,1,1,0.007,65.0,1,1
inv_head_shoulders,BUY,1,1,1,1,0,1,0,0,0.005,60.0,1,0
double_bottom,BUY,1,1,1,1,0,1,1,1,0.006,52.0,1,1
double_bottom,BUY,1,1,1,1,0,0,0,1,0.004,50.0,1,0
double_bottom,BUY,1,1,1,1,0,1,1,1,0.005,55.0,1,1
double_bottom,BUY,0,1,1,0,0,1,0,1,0.004,48.0,1,0
double_bottom,BUY,1,1,1,1,0,1,1,1,0.007,58.0,1,1
double_top,SELL,0,0,0,1,0,1,1,1,0.006,48.0,0,1
double_top,SELL,0,0,0,1,0,0,0,1,0.004,50.0,0,0
double_top,SELL,0,0,0,1,0,1,1,1,0.005,45.0,0,1
double_top,SELL,1,0,0,0,0,1,0,1,0.004,52.0,0,0
double_top,SELL,0,0,0,1,0,1,1,1,0.007,42.0,0,1
sym_triangle,BUY,1,1,1,1,1,1,1,0,0.005,60.0,1,1
sym_triangle,SELL,0,0,0,1,1,1,1,0,0.005,40.0,0,1
sym_triangle,BUY,1,1,1,1,1,0,0,0,0.004,55.0,1,0
sym_triangle,SELL,0,0,0,1,1,0,0,0,0.004,45.0,0,0
sym_triangle,BUY,1,1,1,1,1,1,1,0,0.006,62.0,1,1
sym_triangle,SELL,0,0,0,1,1,1,1,0,0.006,38.0,0,1
sym_triangle,BUY,0,1,1,0,1,1,0,0,0.005,58.0,1,0
sym_triangle,SELL,1,0,0,0,1,1,0,0,0.005,42.0,0,0
sym_triangle,BUY,1,1,1,1,1,1,1,0,0.004,65.0,1,1
sym_triangle,SELL,0,0,0,1,1,1,1,0,0.004,35.0,0,1
ascending_triangle,BUY,1,1,1,1,1,1,1,1,0.005,63.0,1,1
ascending_triangle,BUY,1,1,1,1,1,1,0,1,0.004,60.0,1,1
ascending_triangle,BUY,1,1,1,1,1,0,1,1,0.006,65.0,1,0
ascending_triangle,BUY,0,1,1,0,1,1,1,1,0.005,58.0,1,1
ascending_triangle,BUY,1,1,1,1,1,1,0,0,0.004,72.0,1,0
