time,spy_cls,xlk_cls,aapl_cls,final,aapl_price,aapl_entry,aapl_sl,aapl_tp,aapl_qty
2026-02-10 23:53:42,BUY,BUY,SELL,HOLD,273.8949890136719,,,,
2026-02-10 23:54:52,BUY,BUY,STRONG_SELL,HOLD,273.7449951171875,,,,
2026-02-10 23:59:55,BUY,HOLD,SELL,HOLD,273.81500244140625,,,,
2026-02-11 00:05:01,BUY,BUY,SELL,"CONFLICT (Market BUY, AAPL SELL)",274.05999755859375,,,,
2026-02-11 22:51:43,HOLD,HOLD,HOLD,HOLD,279.9648132324219,,,,
2026-02-11 22:56:31,STRONG_BUY,HOLD,HOLD,HOLD,279.5899963378906,,,,
2026-02-11 22:57:58,HOLD,STRONG_BUY,HOLD,HOLD,279.4649963378906,,,,
2026-02-11 22:59:58,HOLD,STRONG_BUY,HOLD,HOLD,279.42999267578125,,,,
2026-02-11 23:01:42,STRONG_BUY,HOLD,STRONG_BUY,WATCH BUY (2-confirm),279.6098937988281,,,,
2026-02-11 23:02:22,HOLD,HOLD,HOLD,HOLD,279.37579345703125,,,,
2026-02-11 23:09:15,BUY,BUY,BUY,BUY (3-confirm),278.8550109863281,,,,
2026-02-11 23:14:19,BUY,BUY,BUY,BUY (3-confirm),278.7300109863281,,,,
2026-02-11 23:19:29,BUY,STRONG_BUY,BUY,STRONG BUY (3-confirm),278.9100036621094,278.91,278.5176,279.6948,25
2026-02-11 23:24:36,BUY,STRONG_BUY,STRONG_BUY,STRONG BUY (3-confirm),279.010009765625,279.01,278.6375,279.7551,26
2026-02-11 23:29:48,HOLD,BUY,HOLD,HOLD,,,,,
